,s0_wip,s1_wip,s2_wip,s3_wip,total_wip,finish,state
0,0,0,0,0,0,0,正常
1,0,0,0,0,0,0,正常
2,0,0,0,0,0,0,正常
3,0,0,0,0,0,0,正常
4,0,0,0,0,0,0,正常
5,0,0,0,0,0,0,正常
6,0,0,0,0,0,0,正常
7,0,0,0,0,0,0,正常
8,0,0,0,0,0,0,正常
9,0,0,0,0,0,0,正常
10,0,0,0,0,0,0,正常
11,0,0,0,0,0,0,正常
12,0,0,0,0,0,0,正常
13,0,0,0,0,0,0,正常
14,0,0,0,0,0,0,正常
15,0,0,0,0,0,0,正常
16,0,0,0,0,0,0,正常
17,0,0,0,0,0,0,正常
18,0,0,0,0,0,0,正常
19,0,0,0,0,0,0,正常
20,0,0,0,0,0,0,正常
21,0,0,0,0,0,0,正常
22,0,0,0,0,0,0,正常
23,0,0,0,0,0,0,正常
24,0,0,0,0,0,0,正常
25,0,0,0,0,0,0,正常
26,0,0,0,0,0,0,正常
27,0,0,0,0,0,0,正常
28,0,0,0,0,0,0,正常
29,0,0,0,0,0,0,正常
30,0,0,0,0,0,0,正常
31,0,0,0,0,0,0,正常
32,0,0,0,0,0,0,正常
33,0,0,0,0,0,0,正常
34,0,0,0,0,0,0,正常
35,0,0,0,0,0,0,正常
36,0,0,0,0,0,0,正常
37,0,0,0,0,0,0,正常
38,0,0,0,0,0,0,正常
39,0,0,0,0,0,0,正常
40,0,0,0,0,0,0,正常
41,1,0,0,0,1,0,正常
42,0,1,0,0,1,0,正常
43,0,1,0,0,1,0,正常
44,0,0,1,0,1,0,正常
45,0,0,1,0,1,0,正常
46,0,0,1,0,1,0,正常
47,0,0,1,0,1,0,正常
48,0,0,1,0,1,0,正常
49,0,0,1,0,1,0,正常
50,0,0,1,0,1,0,正常
51,0,0,0,1,1,0,正常
52,0,0,0,1,1,0,正常
53,0,0,0,0,0,1,正常
54,1,0,0,0,1,1,正常
55,0,1,0,0,1,1,正常
56,0,1,0,0,1,1,正常
57,0,0,1,0,1,1,正常
58,0,0,1,0,1,1,正常
59,0,0,1,0,1,1,正常
60,0,0,1,0,1,1,正常
61,0,0,1,0,1,1,正常
62,0,0,1,0,1,1,正常
63,0,0,0,1,1,1,正常
64,0,0,0,1,1,1,正常
65,0,0,0,0,0,2,正常
66,1,0,0,0,1,2,正常
67,0,1,0,0,1,2,正常
68,0,1,0,0,1,2,正常
69,0,0,1,0,1,2,正常
70,0,0,1,0,1,2,正常
71,0,0,1,0,1,2,正常
72,0,0,1,0,1,2,正常
73,0,0,1,0,1,2,正常
74,0,0,1,0,1,2,正常
75,0,0,0,1,1,2,正常
76,0,0,0,1,1,2,正常
77,0,0,0,0,0,3,正常
78,1,0,0,0,1,3,正常
79,0,1,0,0,1,3,正常
80,0,1,0,0,1,3,正常
81,0,0,1,0,1,3,正常
82,1,0,0,0,1,0,正常
83,0,1,0,0,1,0,正常
84,1,1,0,0,2,0,正常
85,0,1,1,0,2,0,正常
86,0,1,1,0,2,0,正常
87,0,0,2,0,2,0,正常
88,0,0,2,0,2,0,正常
89,0,0,2,0,2,0,正常
90,0,0,2,0,2,0,正常
91,0,0,2,0,2,0,正常
92,0,0,1,1,2,0,正常
93,0,0,1,1,2,0,正常
94,0,0,1,0,1,1,正常
95,1,0,1,0,2,1,正常
96,0,1,1,0,2,1,正常
97,0,1,1,0,2,1,正常
98,0,0,1,1,2,1,正常
99,0,0,1,1,2,1,正常
100,0,0,1,0,1,2,正常
101,1,0,1,0,2,2,正常
102,0,1,1,0,2,2,正常
103,0,1,1,0,2,2,正常
104,0,0,1,1,2,2,正常
105,0,0,1,1,2,2,正常
106,0,0,1,0,1,3,正常
107,1,0,1,0,2,3,正常
108,0,1,1,0,2,3,正常
109,0,1,1,0,2,3,正常
